movie_node_id,user_node_id,rating
1834,9145,2.0
1981,9145,2.5
2399,9145,1.0
2944,9145,3.0
1534,9145,4.0
1684,9145,4.0
1727,9145,3.0
1762,9145,2.0
878,9145,3.0
925,9145,2.0
43,9145,2.5
852,9145,3.0
1060,9145,2.0
1066,9145,2.0
950,9145,4.0
1036,9145,2.0
1130,9145,2.5
1159,9145,1.0
1102,9145,3.5
1106,9145,2.0
239,9146,3.0
226,9146,3.0
252,9146,4.0
244,9146,4.0
214,9146,5.0
203,9146,3.0
217,9146,3.0
215,9146,1.0
166,9146,3.0
163,9146,3.0
183,9146,3.0
182,9146,3.0
146,9146,5.0
140,9146,3.0
157,9146,3.0
149,9146,4.0
65,9146,4.0
66,9146,3.0
75,9146,3.0
117,9146,4.0
19,9146,4.0
27,9146,5.0
52,9146,5.0
61,9146,4.0
466,9146,4.0
463,9146,3.0
513,9146,5.0
512,9146,3.0
502,9146,3.0
500,9146,4.0
491,9146,4.0
480,9146,4.0
474,9146,4.0
473,9146,4.0
543,9146,5.0
542,9146,5.0
541,9146,5.0
540,9146,3.0
539,9146,3.0
538,9146,3.0
537,9146,5.0
514,9146,3.0
586,9146,4.0
626,9146,4.0
544,9146,3.0
562,9146,3.0
257,9146,5.0
256,9146,5.0
264,9146,4.0
263,9146,3.0
285,9146,4.0
281,9146,3.0
299,9146,4.0
287,9146,3.0
304,9146,1.0
302,9146,2.0
333,9146,4.0
323,9146,3.0
340,9146,3.0
334,9146,4.0
347,9146,3.0
341,9146,3.0
350,9146,3.0
353,9146,2.0
354,9146,3.0
355,9146,3.0
360,9146,3.0
365,9146,3.0
376,9146,2.0
380,9146,3.0
422,9146,4.0
425,9146,3.0
435,9146,4.0
441,9146,2.0
446,9146,4.0
451,9146,3.0
6402,9147,3.5
973,9147,5.0
718,9147,3.0
1009,9147,4.0
985,9147,3.0
546,9147,2.0
544,9147,3.0
661,9147,4.0
636,9147,3.5
1609,9147,4.0
1474,9147,4.0
2029,9147,3.0
1853,9147,4.0
1137,9147,4.0
1044,9147,3.0
1378,9147,4.5
1272,9147,3.5
2292,9147,4.0
2307,9147,4.0
2393,9147,5.0
2618,9147,3.0
2175,9147,3.0
2181,9147,3.5
2192,9147,3.0
2231,9147,3.5
4629,9147,3.0
5045,9147,2.5
5146,9147,3.0
5499,9147,3.5
2823,9147,4.0
3176,9147,5.0
4104,9147,3.0
4278,9147,3.5
238,9147,3.5
258,9147,3.0
73,9147,3.0
117,9147,4.0
540,9147,3.0
543,9147,3.0
360,9147,2.5
491,9147,3.0
339,9147,2.5
340,9147,5.0
285,9147,4.5
303,9147,5.0
6935,9147,3.0
6620,9147,4.5
7753,9147,4.0
5923,9147,3.5
5504,9147,3.0
6576,9147,4.5
1131,9148,3.0
1130,9148,4.0
1119,9148,4.0
1107,9148,5.0
1098,9148,5.0
1096,9148,4.0
1079,9148,4.0
1070,9148,4.0
1064,9148,5.0
1061,9148,5.0
1058,9148,4.0
1055,9148,5.0
1051,9148,5.0
1043,9148,5.0
1038,9148,5.0
1032,9148,4.0
1030,9148,5.0
1031,9148,5.0
1013,9148,5.0
1016,9148,5.0
1000,9148,5.0
1004,9148,5.0
995,9148,5.0
997,9148,5.0
989,9148,5.0
994,9148,5.0
985,9148,5.0
988,9148,5.0
981,9148,5.0
983,9148,5.0
974,9148,5.0
976,9148,5.0
1613,9148,4.0
1602,9148,4.0
1626,9148,5.0
1614,9148,4.0
1595,9148,4.0
1586,9148,5.0
1601,9148,4.0
1599,9148,5.0
1581,9148,5.0
1575,9148,5.0
1584,9148,2.0
1583,9148,3.0
1542,9148,5.0
1535,9148,5.0
1549,9148,5.0
1548,9148,3.0
1455,9148,5.0
1499,9148,4.0
1500,9148,2.0
1534,9148,5.0
1272,9148,5.0
1341,9148,4.0
1350,9148,5.0
1425,9148,1.0
1144,9148,5.0
1145,9148,4.0
1153,9148,5.0
1253,9148,3.0
1133,9148,4.0
1135,9148,3.0
1136,9148,3.0
1139,9148,5.0
403,9148,1.0
402,9148,4.0
399,9148,3.0
380,9148,3.0
446,9148,5.0
431,9148,4.0
410,9148,4.0
408,9148,4.0
340,9148,5.0
333,9148,5.0
313,9148,3.0
285,9148,5.0
363,9148,3.0
350,9148,4.0
347,9148,5.0
341,9148,5.0
139,9148,5.0
149,9148,4.0
45,9148,5.0
119,9148,5.0
251,9148,5.0
278,9148,4.0
171,9148,3.0
182,9148,3.0
19,9148,4.0
907,9148,5.0
899,9148,5.0
923,9148,5.0
921,9148,5.0
971,9148,5.0
931,9148,5.0
973,9148,5.0
972,9148,5.0
853,9148,5.0
851,9148,5.0
855,9148,5.0
854,9148,5.0
859,9148,5.0
856,9148,5.0
889,9148,5.0
885,9148,5.0
714,9148,5.0
743,9148,5.0
750,9148,4.0
753,9148,5.0
759,9148,5.0
834,9148,4.0
839,9148,4.0
845,9148,5.0
504,9148,5.0
540,9148,5.0
541,9148,5.0
542,9148,3.0
545,9148,5.0
547,9148,5.0
556,9148,4.0
562,9148,5.0
3227,9148,2.0
2638,9148,3.0
2640,9148,5.0
2487,9148,4.0
2477,9148,5.0
2462,9148,5.0
2461,9148,4.0
2456,9148,5.0
2441,9148,3.0
2421,9148,5.0
2417,9148,5.0
2630,9148,4.0
2626,9148,5.0
2600,9148,4.0
2599,9148,2.0
2567,9148,4.0
2519,9148,5.0
2515,9148,4.0
2512,9148,4.0
1703,9148,4.0
1717,9148,5.0
1693,9148,5.0
1694,9148,5.0
1721,9148,5.0
1735,9148,5.0
1718,9148,4.0
1720,9148,4.0
1763,9148,5.0
1795,9148,4.0
1747,9148,5.0
1762,9148,3.0
1830,9148,5.0
1878,9148,4.0
2199,9148,5.0
2210,9148,4.0
2178,9148,4.0
2192,9148,5.0
2149,9148,3.0
2166,9148,4.0
2122,9148,5.0
2133,9148,5.0
2063,9148,4.0
2112,9148,1.0
1980,9148,5.0
1992,9148,5.0
1935,9148,5.0
1938,9148,4.0
1900,9148,4.0
1932,9148,4.0
2416,9148,3.0
2399,9148,5.0
2359,9148,5.0
2357,9148,4.0
2348,9148,1.0
2347,9148,2.0
2324,9148,5.0
2320,9148,5.0
2315,9148,3.0
2280,9148,3.0
2267,9148,5.0
2260,9148,5.0
2258,9148,4.0
2254,9148,5.0
2251,9148,5.0
2237,9148,1.0
1681,9148,5.0
1684,9148,4.0
1688,9148,5.0
1689,9148,3.0
1670,9148,5.0
1673,9148,4.0
1675,9148,5.0
1679,9148,5.0
1660,9148,4.0
1664,9148,5.0
1665,9148,5.0
1666,9148,5.0
1634,9148,3.0
1643,9148,5.0
1657,9148,5.0
1659,9148,5.0
1813,9148,5.0
1808,9148,3.0
139,9149,4.0
146,9149,4.0
52,9149,4.0
113,9149,4.0
7,9149,4.0
360,9149,4.0
408,9149,4.0
347,9149,4.0
350,9149,4.0
328,9149,3.5
340,9149,4.0
222,9149,3.5
268,9149,4.5
1378,9149,4.0
1409,9149,4.0
1412,9149,4.5
1505,9149,4.5
1150,9149,3.5
1218,9149,4.5
1253,9149,3.5
1355,9149,4.0
1660,9149,5.0
1817,9149,4.0
1834,9149,4.0
1885,9149,3.5
1542,9149,4.0
1549,9149,4.0
1578,9149,3.5
1604,9149,1.5
671,9149,3.5
548,9149,5.0
743,9149,3.5
714,9149,2.5
538,9149,4.0
466,9149,4.5
546,9149,4.0
540,9149,3.5
1020,9149,4.0
996,9149,2.5
1139,9149,5.0
1079,9149,4.0
845,9149,4.0
759,9149,4.0
970,9149,3.0
858,9149,5.0
2426,9149,3.5
2525,9149,3.5
2572,9149,3.5
2738,9149,4.0
3021,9149,3.5
6326,9149,4.0
6327,9149,4.0
6554,9149,4.5
6171,9149,4.0
6197,9149,4.5
6226,9149,4.0
6315,9149,4.5
4786,9149,2.5
4690,9149,4.0
5424,9149,4.0
4903,9149,4.0
4536,9149,3.5
4441,9149,4.0
4629,9149,4.0
4627,9149,4.0
6006,9149,4.5
6002,9149,4.5
6151,9149,5.0
6008,9149,3.5
5499,9149,3.5
5442,9149,4.0
5510,9149,4.0
5504,9149,4.5
3717,9149,3.5
3866,9149,3.0
3439,9149,3.5
3530,9149,4.5
3245,9149,4.5
3438,9149,3.5
3238,9149,4.0
3242,9149,3.5
4285,9149,4.5
4344,9149,3.0
4170,9149,4.0
4278,9149,3.5
4074,9149,4.5
4104,9149,4.5
3892,9149,4.5
4053,9149,3.5
2359,9149,3.5
2237,9149,3.5
2231,9149,3.5
2183,9149,4.0
2175,9149,4.5
2166,9149,4.0
2023,9149,3.5
1953,9149,4.0
3234,9149,4.0
3175,9149,3.5
3132,9149,4.5
2023,9150,3.5
2044,9150,3.0
2045,9150,4.0
2081,9150,1.0
1582,9150,3.0
1600,9150,4.0
1651,9150,4.0
1747,9150,4.0
1359,9150,2.0
1393,9150,2.0
1468,9150,0.5
1492,9150,3.0
1049,9150,4.5
1058,9150,4.5
1121,9150,2.0
1322,9150,2.0
5045,9150,5.0
5010,9150,3.0
5418,9150,3.5
5146,9150,4.0
3663,9150,1.5
3019,9150,1.5
4414,9150,5.0
3877,9150,1.5
